Rank,Release Group,Worldwide,year,Domestic %,Foreign %,Domestic (in $),Foreign (in $)
1,Avengers: Endgame,2797800564,2019,0.306802783245132,0.693197216754868,858373000,1939427564
2,Star Wars: Episode VII - The Force Awakens,2068223624,2015,0.4528824707980417,0.5471175292019583,936662225,1131561399
3,Avengers: Infinity War,2048359754,2018,0.3313946589091205,0.6686053410908794,678815482,1369544272
4,Jurassic World,1670400637,2015,0.39048753368022093,0.6095124663197791,652270625,1018130012
5,The Lion King,1656943394,2019,0.32809693135479556,0.6719030686452044,543638043,1113305351
6,The Avengers,1518812988,2012,0.41042440045291473,0.5895755995470853,623357910,895455078
7,Furious 7,1515047671,2015,0.23300060239490641,0.7669993976050936,353007020,1162040651
8,Frozen II,1450026933,2019,0.329217042205105,0.6707829577948949,477373578,972653355
9,Avengers: Age of Ultron,1402805868,2015,0.3272055517235689,0.6727944482764311,459005868,943800000
10,Black Panther,1346913161,2018,0.5197510769589992,0.4802489230410007,700059566,646853595
11,Harry Potter and the Deathly Hallows: Part 2,1341511219,2011,0.2840164238686102,0.7159835761313897,381011219,960500000
12,Star Wars: Episode VIII - The Last Jedi,1332539889,2017,0.465412995978239,0.5345870040217611,620181382,712358507
13,Jurassic World: Fallen Kingdom,1308467944,2018,0.3192434036427567,0.6807565963572433,417719760,890748184
14,Frozen,1280802282,2013,0.31288046143565507,0.6871195385643449,400738009,880064273
15,Beauty and the Beast,1263521126,2017,0.3988965080430321,0.6011034919569679,504014165,759506961
16,Incredibles 2,1242805359,2018,0.48968387494698595,0.510316125053014,608581744,634223615
17,The Fate of the Furious,1236005118,2017,0.1828539232634472,0.8171460767365528,226008385,1009996733
18,Iron Man 3,1214811252,2013,0.33668933616363966,0.6633106638363603,409013994,805797258
19,Minions,1159398397,2015,0.28984494964762314,0.7101550503523768,336045770,823352627
20,Captain America: Civil War,1153296293,2016,0.35384172434862754,0.6461582756513724,408084349,745211944
21,Aquaman,1148461807,2018,0.2917483236776023,0.7082516763223977,335061807,813400000
22,The Lord of the Rings: The Return of the King,1140682011,2003,0.3305279835784138,0.6694720164215863,377027325,763654686
23,Spider-Man: Far from Home,1131927996,2019,0.345014953583673,0.654985046416327,390532085,741395911
24,Captain Marvel,1128274794,2019,0.3783030882811692,0.6216969117188308,426829839,701444955
25,Transformers: Dark of the Moon,1123794079,2011,0.3135721655639725,0.6864278344360275,352390543,771403536
26,Skyfall,1108561013,2012,0.2745543758356943,0.7254456241643057,304360277,804200736
27,Transformers: Age of Extinction,1104054072,2014,0.22230711540729683,0.7776928845927031,245439076,858614996
28,The Dark Knight Rises,1081041287,2012,0.4145439257399981,0.5854560742600019,448139099,632902188
29,Joker,1074251311,2019,0.3122652097931673,0.6877347902068327,335451311,738800000
30,Star Wars: Episode IX - The Rise of Skywalker,1074144248,2019,0.4796399952420543,0.5203600047579457,515202542,558941706
31,Toy Story 4,1073394593,2019,0.4043601587249657,0.5956398412750342,434038008,639356585
32,Toy Story 3,1066969703,2010,0.3889565737744289,0.6110434262255711,415004880,651964823
33,Rogue One: A Star Wars Story,1056057273,2016,0.5039284682810948,0.49607153171890517,532177324,523879949
34,Aladdin,1050693953,2019,0.3384041708670612,0.6615958291329388,355559216,695134737
35,Pirates of the Caribbean: On Stranger Tides,1045713802,2011,0.23053325062644625,0.7694667493735537,241071802,804642000
36,Despicable Me 3,1034799409,2017,0.2557252136969475,0.7442747863030524,264624300,770175109
37,Finding Dory,1028570889,2016,0.47278759898871686,0.5272124010112832,486295561,542275328
38,Alice in Wonderland,1025467110,2010,0.32589159295416115,0.6741084070458389,334191110,691276000
39,Zootopia,1023784195,2016,0.3333400238709487,0.6666599761290513,341268248,682515947
40,The Hobbit: An Unexpected Journey,1017003568,2012,0.29793756633113405,0.7020624336688659,303003568,714000000
41,Harry Potter and the Deathly Hallows: Part 1,976536918,2010,0.30309484418283916,0.6969051558171608,295983305,680553613
42,Harry Potter and the Sorcerer's Stone,974755371,2001,0.32580025660612644,0.6741997433938736,317575550,657179821
43,Despicable Me 2,970766005,2013,0.3791494377679614,0.6208505622320386,368065385,602700620
44,The Jungle Book,966550600,2016,0.3765981036067848,0.6234018963932152,364001123,602549477
45,Jumanji: Welcome to the Jungle,962077546,2017,0.42046036900231326,0.5795396309976868,404515480,557562066
46,The Hobbit: The Desolation of Smaug,958366855,2013,0.2695907664711547,0.7304092335288452,258366855,700000000
47,The Hobbit: The Battle of the Five Armies,956019788,2014,0.26685617934092387,0.7331438206590761,255119788,700900000
48,The Lord of the Rings: The Two Towers,936689735,2002,0.36275606351125433,0.6372439364887457,339789881,596899854
49,Shrek 2,928760770,2004,0.47506985787093486,0.5249301421290652,441226247,487534523
50,Bohemian Rhapsody,903655259,2018,0.23950288546929155,0.7604971145307085,216428042,687227217
51,Harry Potter and the Goblet of Fire,895921036,2005,0.3237037912345659,0.6762962087654341,290013036,605908000
52,The Lord of the Rings: The Fellowship of the Ring,883726270,2001,0.35459409167501604,0.6454059083249839,313364114,570362156
53,Spectre,880674609,2015,0.22718335121207064,0.7728166487879293,200074609,680600000
54,Spider-Man: Homecoming,880166924,2017,0.37970199843592395,0.620298001564076,334201140,545965784
55,Harry Potter and the Chamber of Secrets,878979634,2002,0.2980597864455185,0.7019402135544816,261988482,616991152
56,Ice Age: Continental Drift,877244782,2012,0.18389604168657225,0.8161039583134277,161321843,715922939
57,The Secret Life of Pets,875457937,2016,0.42079043941548044,0.5792095605845196,368384330,507073607
58,Batman v Superman: Dawn of Justice,873634919,2016,0.3781444477724682,0.6218555522275317,330360194,543274725
59,Finding Nemo,871014978,2003,0.3900219704373442,0.6099780295626558,339714978,531300000
60,Wolf Warrior 2,870325439,2017,0.003126531614572282,0.9968734683854277,2721100,867604339
61,Star Wars: Episode III - Revenge of the Sith,868352530,2005,0.437921885250913,0.562078114749087,380270577,488081953
62,The Hunger Games: Catching Fire,865011746,2013,0.490939052520103,0.5090609474798969,424668047,440343699
63,Guardians of the Galaxy Vol. 2,863756051,2017,0.4512999944240043,0.5487000055759956,389813101,473942950
64,Inside Out,857611174,2015,0.4156449004009829,0.5843550995990171,356461711,501149463
